Sector,Quarter,Funding,Quarter_Start
Consumer Internet,2015Q2,0,01-04-2015
Consumer Internet,2015Q3,0,01-07-2015
Consumer Internet,2015Q4,0,01-10-2015
Consumer Internet,2016Q1,597916000,01-01-2016
Consumer Internet,2016Q2,433232000,01-04-2016
Consumer Internet,2016Q3,546473000,01-07-2016
Consumer Internet,2016Q4,341154000,01-10-2016
Consumer Internet,2017Q1,723148000,01-01-2017
Consumer Internet,2017Q2,1075452000,01-04-2017
Consumer Internet,2017Q3,499330000,01-07-2017
Consumer Internet,2017Q4,297646000,01-10-2017
Consumer Internet,2018Q1,503106434,01-01-2018
Consumer Internet,2018Q2,360105000,01-04-2018
Consumer Internet,2018Q3,867971811,01-07-2018
Consumer Internet,2018Q4,0,01-10-2018
Consumer Internet,2019Q1,0,01-01-2019
Consumer Internet,2019Q2,0,01-04-2019
Consumer Internet,2019Q3,0,01-07-2019
Consumer Internet,2019Q4,0,01-10-2019
Consumer Internet,2020Q1,0,01-01-2020
Ecommerce,2015Q2,10000000,01-04-2015
Ecommerce,2015Q3,80000,01-07-2015
Ecommerce,2015Q4,0,01-10-2015
Ecommerce,2016Q1,560473608,01-01-2016
Ecommerce,2016Q2,148000000,01-04-2016
Ecommerce,2016Q3,189628000,01-07-2016
Ecommerce,2016Q4,76945000,01-10-2016
Ecommerce,2017Q1,1705052000,01-01-2017
Ecommerce,2017Q2,1533845000,01-04-2017
Ecommerce,2017Q3,2604287000,01-07-2017
Ecommerce,2017Q4,59400000,01-10-2017
Ecommerce,2018Q1,0,01-01-2018
Ecommerce,2018Q2,0,01-04-2018
Ecommerce,2018Q3,0,01-07-2018
Ecommerce,2018Q4,50000000,01-10-2018
Ecommerce,2019Q1,226000000,01-01-2019
Ecommerce,2019Q2,0,01-04-2019
Ecommerce,2019Q3,0,01-07-2019
Ecommerce,2019Q4,0,01-10-2019
Ecommerce,2020Q1,0,01-01-2020
Finance,2015Q2,0,01-04-2015
Finance,2015Q3,0,01-07-2015
Finance,2015Q4,0,01-10-2015
Finance,2016Q1,8700000,01-01-2016
Finance,2016Q2,0,01-04-2016
Finance,2016Q3,16000000,01-07-2016
Finance,2016Q4,7000000,01-10-2016
Finance,2017Q1,0,01-01-2017
Finance,2017Q2,8000000,01-04-2017
Finance,2017Q3,6000000,01-07-2017
Finance,2017Q4,535070000,01-10-2017
Finance,2018Q1,219340000,01-01-2018
Finance,2018Q2,168828000,01-04-2018
Finance,2018Q3,652000000,01-07-2018
Finance,2018Q4,42000000,01-10-2018
Finance,2019Q1,5000000,01-01-2019
Finance,2019Q2,129000000,01-04-2019
Finance,2019Q3,164000000,01-07-2019
Finance,2019Q4,5900000,01-10-2019
Finance,2020Q1,0,01-01-2020
Technology,2015Q2,0,01-04-2015
Technology,2015Q3,0,01-07-2015
Technology,2015Q4,0,01-10-2015
Technology,2016Q1,117750000,01-01-2016
Technology,2016Q2,179076000,01-04-2016
Technology,2016Q3,155316000,01-07-2016
Technology,2016Q4,230371000,01-10-2016
Technology,2017Q1,266330500,01-01-2017
Technology,2017Q2,121710000,01-04-2017
Technology,2017Q3,302208000,01-07-2017
Technology,2017Q4,291673230,01-10-2017
Technology,2018Q1,407374600,01-01-2018
Technology,2018Q2,78582600,01-04-2018
Technology,2018Q3,49216000,01-07-2018
Technology,2018Q4,0,01-10-2018
Technology,2019Q1,0,01-01-2019
Technology,2019Q2,3000000,01-04-2019
Technology,2019Q3,0,01-07-2019
Technology,2019Q4,26000000,01-10-2019
Technology,2020Q1,0,01-01-2020
Transportation,2015Q2,0,01-04-2015
Transportation,2015Q3,0,01-07-2015
Transportation,2015Q4,0,01-10-2015
Transportation,2016Q1,0,01-01-2016
Transportation,2016Q2,0,01-04-2016
Transportation,2016Q3,0,01-07-2016
Transportation,2016Q4,0,01-10-2016
Transportation,2017Q1,0,01-01-2017
Transportation,2017Q2,0,01-04-2017
Transportation,2017Q3,0,01-07-2017
Transportation,2017Q4,0,01-10-2017
Transportation,2018Q1,0,01-01-2018
Transportation,2018Q2,0,01-04-2018
Transportation,2018Q3,0,01-07-2018
Transportation,2018Q4,0,01-10-2018
Transportation,2019Q1,0,01-01-2019
Transportation,2019Q2,8584000,01-04-2019
Transportation,2019Q3,3900000000,01-07-2019
Transportation,2019Q4,0,01-10-2019
Transportation,2020Q1,8048394,01-01-2020
